#TIME,N,T_CD4,T_CD8,U,V
12.51523876,4.819683552,1.260888696,1.707733631,2591.407471,4269.678711
12.52023888,4.819683552,1.260888696,1.707733631,2591.407471,4269.678711
12.52523899,4.819683552,1.260888696,1.707733631,2591.407471,4269.678711
12.53023911,4.819683552,1.260888696,1.707733631,2591.407471,4269.678711
12.53523922,4.826537132,1.264074445,1.711702347,2591.098389,4235.59082
12.54023933,4.826537132,1.264074445,1.711702347,2591.098389,4235.59082
12.54523945,4.826537132,1.264074445,1.711702347,2591.098389,4235.59082
12.55023956,4.826537132,1.264074445,1.711702347,2591.098389,4235.59082
12.55523968,4.826537132,1.264074445,1.711702347,2591.098389,4235.59082
12.56023979,4.826537132,1.264074445,1.711702347,2590.79126,4201.674805
12.56523991,4.826537132,1.264074445,1.711702347,2590.79126,4201.674805
12.57024002,4.826537132,1.264074445,1.711702347,2590.79126,4201.674805
12.57524014,4.826537132,1.264074445,1.711702347,2590.79126,4201.674805
12.58024025,4.826537132,1.264074445,1.711702347,2590.79126,4201.674805
12.58524036,4.826537132,1.264074445,1.711702347,2590.486816,4167.931641
12.59024048,4.833178043,1.267222643,1.715616345,2590.486816,4167.931641
12.59524059,4.833178043,1.267222643,1.715616345,2590.486816,4167.931641
12.60024071,4.833178043,1.267222643,1.715616345,2590.486816,4167.931641
12.60524082,4.833178043,1.267222643,1.715616345,2590.184814,4134.360352
12.61024094,4.833178043,1.267222643,1.715616345,2590.184814,4134.360352
12.61524105,4.833178043,1.267222643,1.715616345,2590.184814,4134.360352
12.62024117,4.833178043,1.267222643,1.715616345,2590.184814,4134.360352
12.62524128,4.833178043,1.267222643,1.715616345,2590.184814,4134.360352
12.63024139,4.833178043,1.267222643,1.715616345,2589.88501,4100.960938
12.63524151,4.833178043,1.267222643,1.715616345,2589.88501,4100.960938
12.64024162,4.833178043,1.267222643,1.715616345,2589.88501,4100.960938
12.64524174,4.833178043,1.267222643,1.715616345,2589.88501,4100.960938
12.65024185,4.839606285,1.270333529,1.719475508,2589.88501,4100.960938
12.65524197,4.839606285,1.270333529,1.719475508,2589.587402,4067.734375
12.66024208,4.839606285,1.270333529,1.719475508,2589.587402,4067.734375
12.6652422,4.839606285,1.270333529,1.719475508,2589.587402,4067.734375
12.67024231,4.839606285,1.270333529,1.719475508,2589.587402,4067.734375
12.67524242,4.839606285,1.270333529,1.719475508,2589.587402,4067.734375
12.68024254,4.839606285,1.270333529,1.719475508,2589.292236,4034.679932
12.68524265,4.839606285,1.270333529,1.719475508,2589.292236,4034.679932
12.69024277,4.839606285,1.270333529,1.719475508,2589.292236,4034.679932
12.69524288,4.839606285,1.270333529,1.719475508,2589.292236,4034.679932
12.700243,4.839606285,1.270333529,1.719475508,2588.999512,4001.797607
12.70524311,4.845821381,1.273406982,1.723279715,2588.999512,4001.797607
12.71024323,4.845821381,1.273406982,1.723279715,2588.999512,4001.797607
12.71524334,4.845821381,1.273406982,1.723279715,2588.999512,4001.797607
12.72024345,4.845821381,1.273406982,1.723279715,2588.999512,4001.797607
12.72524357,4.845821381,1.273406982,1.723279715,2588.708984,3969.087646
12.73024368,4.845821381,1.273406982,1.723279715,2588.708984,3969.087646
12.7352438,4.845821381,1.273406982,1.723279715,2588.708984,3969.087646
12.74024391,4.845821381,1.273406982,1.723279715,2588.708984,3969.087646
12.74524403,4.845821381,1.273406982,1.723279715,2588.708984,3969.087646
12.75024414,4.845821381,1.273406982,1.723279715,2588.420898,3936.550049
12.75524426,4.845821381,1.273406982,1.723279715,2588.420898,3936.550049
12.76024437,4.845821381,1.273406982,1.723279715,2588.420898,3936.550049
12.76524448,4.851824284,1.276443124,1.727029204,2588.420898,3936.550049
12.7702446,4.851824284,1.276443124,1.727029204,2588.420898,3936.550049
12.77524471,4.851824284,1.276443124,1.727029204,2588.135254,3904.18457
12.78024483,4.851824284,1.276443124,1.727029204,2588.135254,3904.18457
12.78524494,4.851824284,1.276443124,1.727029204,2588.135254,3904.18457
12.79024506,4.851824284,1.276443124,1.727029204,2588.135254,3904.18457
12.79524517,4.851824284,1.276443124,1.727029204,2588.135254,3904.18457
12.80024529,4.851824284,1.276443124,1.727029204,2587.852051,3871.991455
12.8052454,4.851824284,1.276443124,1.727029204,2587.852051,3871.991455
12.81024551,4.851824284,1.276443124,1.727029204,2587.852051,3871.991455
12.81524563,4.851824284,1.276443124,1.727029204,2587.852051,3871.991455
12.82024574,4.857614517,1.279441833,1.730723858,2587.570801,3839.970459
12.82524586,4.857614517,1.279441833,1.730723858,2587.570801,3839.970459
12.83024597,4.857614517,1.279441833,1.730723858,2587.570801,3839.970459
12.83524609,4.857614517,1.279441833,1.730723858,2587.570801,3839.970459
12.8402462,4.857614517,1.279441833,1.730723858,2587.570801,3839.970459
12.84524632,4.857614517,1.279441833,1.730723858,2587.292236,3808.121826
12.85024643,4.857614517,1.279441833,1.730723858,2587.292236,3808.121826
12.85524654,4.857614517,1.279441833,1.730723858,2587.292236,3808.121826
12.86024666,4.857614517,1.279441833,1.730723858,2587.292236,3808.121826
12.86524677,4.857614517,1.279441833,1.730723858,2587.292236,3808.121826
12.87024689,4.857614517,1.279441833,1.730723858,2587.015869,3776.445557
12.875247,4.857614517,1.279441833,1.730723858,2587.015869,3776.445557
12.88024712,4.863191605,1.282403231,1.734363675,2587.015869,3776.445557
12.88524723,4.863191605,1.282403231,1.734363675,2587.015869,3776.445557
12.89024734,4.863191605,1.282403231,1.734363675,2587.015869,3776.445557
12.89524746,4.863191605,1.282403231,1.734363675,2586.741699,3744.941406
12.90024757,4.863191605,1.282403231,1.734363675,2586.741699,3744.941406
12.90524769,4.863191605,1.282403231,1.734363675,2586.741699,3744.941406
