"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","CommonName","Degree","degree.layout","Eccentricity","EnzymeCounts","GeneObjects","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","ReactionCounts","selected","SelfLoops","shared name","Stress","SuperPathway","TopologicalCoefficient"
"230","0.0","0.0","0.0","0.0","glycine betaine biosynthesis I (Gram-negative bacteria)","0",,"0","2","XC_0760; XC_0761","true","BETSYN-PWY","0.0","0","0","0","9.223372036854776E10","2","false","0","BETSYN-PWY","0","false","0.0"
"231","0.0","0.0","0.0","0.0","choline degradation I","0",,"0","2","XC_0760; XC_0761","true","CHOLINE-BETAINE-ANA-PWY","0.0","0","0","0","9.223372036854776E10","2","false","0","CHOLINE-BETAINE-ANA-PWY","0","false","0.0"
"232","10.18539326","0.02240843","0.09817981","0.0","purine nucleotides degradation II (aerobic)","3","3","19","7","XC_0304; XC_1387; XC_1845; XC_1934; XC_2687; XC_2956; XC_3158","false","PWY-6353","1.66666667","3","0","0","0.54073034","3","false","0","PWY-6353","12986","true","0.33333333"
"233","11.17977528","0.0","0.08944724","0.0","urate biosynthesis/inosine 5'-phosphate degradation","1","1","20","4","XC_1934; XC_2687; XC_2956; XC_3158","false","PWY-5695","3.0","1","0","0","0.49101124","4","false","0","PWY-5695","0","false","0.0"
"234","7.1011236","0.0","0.14082278","1.0","UTP and CTP biosynthesis","3","3","14","3","XC_1923; XC_2534; XC_2867","false","PWY-7176","4.5","3","0","1","0.69494382","3","false","0","PWY-7176","0","false","0.75"
"235","6.51123596","0.0031081","0.15358067","0.66666667","UMP biosynthesis","4","4","14","7","XC_1367; XC_1858; XC_2346; XC_2348; XC_2448; XC_3931; XC_4226","false","PWY-5686","4.0","4","0","1","0.7244382","6","false","0","PWY-5686","404","false","0.5"
"236","7.09550562","0.01123596","0.14093428","0.0","pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I","5","5","14","7","XC_1548; XC_2203; XC_3444; XC_3942; XC_4020; XC_4075; XC_4076","false","PWY0-166","3.5","5","0","2","0.69522472","13","false","0","PWY0-166","892","false","0.5"
"237","8.08988764","0.0","0.12361111","0.0","salvage pathways of pyrimidine deoxyribonucleotides","2","2","15","1","XC_4235","false","PWY0-181","2.0","2","0","1","0.64550562","5","false","0","PWY0-181","0","false","0.0"
"238","0.0","0.0","0.0","0.0","uracil and uridine salvage I","0",,"0","1","XC_1728","true","PWY-7183","0.0","0","0","0","9.223372036854776E10","2","false","0","PWY-7183","0","false","0.0"
"239","7.10674157","0.0","0.14071146","0.0","pyrimidine ribonucleotides salvage","1","1","14","4","XC_0670; XC_1728; XC_1923; XC_2203","false","PWY0-163","6.0","1","0","0","0.69466292","9","false","0","PWY0-163","0","false","0.0"
"240","7.02808989","0.01225154","0.14228617","0.0","guanine and guanosine salvage II","2","2","15","1","XC_2957","false","PWY-6599","6.5","2","0","0","0.69859551","2","false","0","PWY-6599","2702","false","0.5"
"241","7.01685393","0.0058207","0.14251401","0.0","adenine and adenosine salvage III","2","2","15","3","XC_0304; XC_2956; XC_2957","false","PWY-6609","9.0","2","0","0","0.6991573","4","false","0","PWY-6609","4514","false","0.66666667"
"242","8.26404494","0.02413387","0.12100612","0.0","adenine and adenosine salvage II","3","3","17","2","XC_0946; XC_1832","false","PWY-6605","4.0","3","0","0","0.63679775","2","false","0","PWY-6605","13932","false","0.375"
"243","9.21348315","0.03339953","0.10853659","0.0","adenosine nucleotides degradation II","3","3","18","5","XC_0304; XC_1387; XC_2687; XC_2956; XC_3158","false","SALVADEHYPOX-PWY","2.66666667","3","0","0","0.58932584","5","false","0","SALVADEHYPOX-PWY","19476","false","0.41666667"
"244","8.28651685","0.02089157","0.12067797","0.0","adenine and adenosine salvage I","2","2","17","2","XC_1832; XC_2956","false","P121-PWY","5.0","2","0","0","0.63567416","2","false","0","P121-PWY","12144","false","0.57142857"
"245","6.98314607","0.0","0.14320193","1.0","xanthine and xanthosine salvage","3","3","15","1","XC_2956","false","SALVPURINE2-PWY","9.5","3","0","1","0.7008427","2","false","0","SALVPURINE2-PWY","0","false","0.59375"
